entry_bar,entry_notional,entry_time,exit_bar,exit_time,month,pnl,quarter,rank,return,sleeve
10071,9626.269339971428,2020-11-17 02:00:00,10266,2020-11-25 05:00:00,2020-11,2456.2807790399293,2020Q4,16,0.25516435207569416,1h_core_donchian
24556,7406.676018405395,2022-07-14 01:00:00,24728,2022-07-21 05:00:00,2022-07,2392.2606999394684,2022Q3,17,0.32298708543410887,1h_core_donchian
18001,38637.84765557167,2021-10-13 22:00:00,18092,2021-10-17 17:00:00,2021-10,2321.746494886611,2021Q4,18,0.06008995417092829,1h_core_donchian
16322,35260.85807782728,2021-08-04 23:00:00,16421,2021-08-09 02:00:00,2021-08,2314.0000534458304,2021Q3,19,0.06562517702599299,1h_core_donchian
7157,6823.522597292716,2020-07-18 11:00:00,7397,2020-07-28 11:00:00,2020-07,2120.241847628332,2020Q3,20,0.31072540867228227,1h_core_donchian
13781,33169.548043347175,2021-04-20 19:00:00,14315,2021-05-13 01:00:00,2021-04,19938.674292343967,2021Q2,1,0.6011138368930256,1h_core_donchian_fast
15969,53806.22221756829,2021-07-21 06:00:00,16281,2021-08-03 06:00:00,2021-07,17327.008911379984,2021Q3,2,0.3220261188625604,1h_core_donchian_fast
14380,43153.828037166706,2021-05-15 18:00:00,14591,2021-05-24 13:00:00,2021-05,15910.419576929246,2021Q2,3,0.3686908045150994,1h_core_donchian_fast
15142,55556.85832121429,2021-06-16 12:00:00,15391,2021-06-27 04:00:00,2021-06,13365.763802457746,2021Q2,4,0.24057810694011206,1h_core_donchian_fast
11187,21375.82289804115,2021-01-02 14:00:00,11394,2021-01-11 05:00:00,2021-01,10410.398981670412,2021Q1,5,0.4870174603956139,1h_core_donchian_fast
16313,67517.97784707489,2021-08-04 14:00:00,16421,2021-08-09 02:00:00,2021-08,9087.802920473681,2021Q3,6,0.1345982686427182,1h_core_donchian_fast
16941,51396.54628783348,2021-08-30 18:00:00,17125,2021-09-07 10:00:00,2021-08,7974.43704245313,2021Q3,7,0.15515511485527245,1h_core_donchian_fast
