avg_bars_held,daily_context,dd_improve_rel,delta_avg_bars_held,delta_full,delta_giveback_to_loss_6_count,delta_mfe_capture_avg,delta_oos,delta_roll12,engulf_style,engulf_volume_ratio,exited_base_loser_pnl,exited_base_pnl,exited_base_winner_pnl,exits,full_dd,full_return,giveback_to_loss_6_count,giveback_to_loss_6_pnl,macd_tf,mfe_capture_avg,oi_threshold,oos_return,pass_gate,rolling12_min,sequence_macd_tf,sequence_window_bars,top20_winner_exited_pnl,top20_winner_exits,trades,unique_base_trades_exited,use_2h_wick,variant,wick_shadow_ratio,wick_volume_ratio,worst20_loser_exited_pnl,worst20_loser_exits,year_flat,year_losses,year_min_delta,year_wins
1689.0254237288136,False,0.025156742251158826,-549.406779661017,-315.03684549318257,-2,0.03234257533687468,0.4226041902389328,-0.16908519044413206,loose,1.5,-70030.67243936483,3019902.413200427,3089933.085639792,27,-0.49831734798315186,107.81349140726103,15,-87832.5626319488,2h,0.38552480100474995,,6.719767582176675,False,-0.12913714008732347,,0,2754923.7566871806,9,236,27,False,1h_loose_engulf_v1p5_macd2h,0.75,1.5,0.0,0,0,5,-1.6602568973154197,3
1296.1313559322034,False,0.021997317940805134,-942.3008474576272,-394.8743174519075,-5,0.12711995351129518,-2.086810990379317,-0.14490826504165788,,1.5,-305324.64645633445,4482791.740570663,4788116.387026997,63,-0.49993237268684076,27.97601944853612,12,-19506.679600280746,,0.48030217917917045,-0.005,4.210352401558425,False,-0.10496021468484928,,0,3548914.814921305,15,236,63,True,2h_wick_r60_v2p0_oiN0p5,0.6,2.0,-161853.69824588066,2,1,6,-1.7133028580894876,1
1241.3093220338983,False,0.021997317940805134,-997.1228813559323,-395.17705596730843,-5,0.13219644350343757,-2.7747406070793534,-0.14490826504165788,,1.5,-417722.9404425756,4481786.916246877,4899509.856689452,73,-0.49993237268684076,27.6732809331352,12,-19692.98396242474,,0.48537866917131284,0.0,3.5224227848583887,False,-0.10496021468484928,,0,3548914.814921305,15,236,73,True,2h_wick_r60_v2p0_oi0,0.6,2.0,-161853.69824588066,2,1,6,-1.7133028580894876,1
1203.656779661017,False,0.021997317940805134,-1034.7754237288136,-408.14852912464175,-6,0.13910045868993764,-3.0897077717417307,-0.23070953640031722,,1.5,-338891.18128981395,4737422.460244263,5076313.641534077,74,-0.49993237268684076,14.701807775801859,11,-12876.116511490158,,0.4922826843578129,-0.005,3.2074556201960114,False,-0.19076148604350862,,0,3687289.8664215794,16,236,74,True,2h_wick_r60_v1p5_oiN0p5,0.6,1.5,-161853.69824588066,2,1,7,-1.8315107931847312,0
1154.0635593220338,False,0.021997317940805134,-1084.3686440677968,-406.8183580489282,-6,0.14546597301813036,-3.1628160098684486,-0.23070953640031722,,1.5,-451289.4752760551,5010197.534191672,5461487.009467727,87,-0.49993237268684076,16.03197885151539,11,-13193.728158111333,,0.49864819868600563,0.0,3.1343473820692935,False,-0.19076148604350862,,0,3825667.2881681006,17,236,87,True,2h_wick_r60_v1p5_oi0,0.6,1.5,-161853.69824588066,2,1,7,-1.8315107931847312,0
1851.9533898305085,False,4.343791901019476e-16,-386.47881355932213,-142.9737050337646,0,0.01937005593516039,0.10888253153000793,0.0,,1.5,0.0,1581075.25586682,1581075.25586682,15,-0.5111768933334904,279.876631866679,17,-230908.2427675111,,0.37255228160303566,,6.40604592346775,False,0.039948050356808595,4h,288,1218544.1984263228,4,236,15,True,2h_wick_r75_v1p5_then_macd4h_24h,0.75,1.5,0.0,0,0,4,-1.1221697730809703,4
2129.398305084746,False,4.343791901019476e-16,-109.03389830508468,100.13839593808825,0,0.009834656611897308,0.0,0.0,,1.5,0.0,347989.6336861987,347989.6336861987,5,-0.5111768933334904,522.9887328385319,17,-431563.4709972272,,0.3630168822797726,,6.297163391937742,False,0.039948050356808595,4h,288,307884.85576939007,2,236,5,True,2h_wick_r85_v2p0_then_macd4h_24h,0.85,2.0,0.0,0,4,2,-0.2590847761630819,2
1903.8093220338983,False,0.0,-334.62288135593235,-136.36160300346035,0,0.01847418771806808,0.07976702644390254,0.0,,1.5,0.0,1529357.633384976,1529357.633384976,13,-0.5111768933334906,286.48873389698326,17,-236556.98682625336,,0.37165641338594335,,6.376930418381645,False,0.039948050356808595,4h,288,1218544.1984263228,4,236,13,True,2h_wick_r75_v2p0_then_macd4h_24h,0.75,2.0,0.0,0,1,3,-1.4008742776086187,4
2225.4110169491523,False,0.0,-13.02118644067832,88.69484313475368,0,0.00515132566128923,0.06101064363226261,0.0,,1.5,0.0,277387.2455895847,277387.2455895847,3,-0.5111768933334906,511.5451800351973,17,-423982.5379052884,4h,0.3583335513291645,,6.358174035570005,False,0.039948050356808595,,0,275268.22766842233,2,236,3,True,2h_wick_r60_v1p5_macd4h,0.6,1.5,0.0,0,5,0,0.0,3
2225.4110169491523,False,0.0,-13.02118644067832,88.69484313475368,0,0.00515132566128923,0.06101064363226261,0.0,,1.5,0.0,277387.2455895847,277387.2455895847,3,-0.5111768933334906,511.5451800351973,17,-423982.5379052884,4h,0.3583335513291645,,6.358174035570005,False,0.039948050356808595,,0,275268.22766842233,2,236,3,True,2h_wick_r60_v2p0_macd4h,0.6,2.0,0.0,0,5,0,0.0,3
